Date;Open;High;Low;Close
2001-11-26;91,01;91,01;91,01;91,01
2001-11-27;91,01;91,01;91,01;91,01
2001-11-28;91,01;91,01;91,01;91,01
2001-11-29;91,01;91,01;91,01;91,01
2001-11-30;91,32;91,32;91,32;91,32
2001-12-03;91,32;91,32;91,32;91,32
2001-12-04;92,64;92,64;92,64;92,64
2001-12-05;92,64;92,64;92,64;92,64
2001-12-06;94,12;94,12;94,12;94,12
2001-12-07;92,7;92,7;92,14;92,14
2001-12-10;92,14;92,14;92,14;92,14
2001-12-11;90,75;90,75;90,75;90,75
2001-12-12;90,3;90,3;90,05;90,05
2001-12-13;90,05;90,05;90,05;90,05
2001-12-14;90,05;90,05;90,05;90,05
2001-12-17;89,68;89,68;89,68;89,68
2001-12-18;90,05;90,81;90,05;90,81
2001-12-19;90,65;91,4;90,65;91,4
2001-12-20;91,4;91,4;91,4;91,4
2001-12-21;91,4;91,4;91,4;91,4
2001-12-24;93;93;93;93
2001-12-26;95,45;95,45;95,45;95,45
2001-12-27;95,45;95,45;95,45;95,45
2001-12-28;96,36;96,36;96,36;96,36
2001-12-31;95,6;95,6;95,6;95,6
2002-01-02;95,6;95,6;95,6;95,6
2002-01-03;95,6;95,6;95,6;95,6
2002-01-04;94,2;94,38;94,2;94,38
2002-01-07;94,9;94,9;94,9;94,9
2002-01-08;93,9;93,9;93,9;93,9
2002-01-09;93,89;93,89;93,89;93,89
2002-01-10;93,89;93,89;93,89;93,89
2002-01-11;93,89;93,89;93,89;93,89
2002-01-14;93,89;93,89;93,89;93,89
2002-01-15;93,89;93,89;93,89;93,89
2002-01-16;93,89;93,89;93,89;93,89
2002-01-17;93,89;93,89;93,89;93,89
2002-01-18;93,89;93,89;93,89;93,89
2002-01-22;89,2;89,2;88,55;88,57
2002-01-23;88,57;88,57;88,57;88,57
2002-01-24;88,57;88,57;88,57;88,57
2002-01-25;88,57;88,57;88,57;88,57
2002-01-28;92,6;92,6;92,6;92,6
2002-01-29;92,05;92,05;92,05;92,05
